variable,stat,<2y,2-8y,>8y
y,median_estimate,0.14226951962802958,0.07458235630650972,0.06003443653376127
y,true,0.13124310582477555,0.061731587952242435,0.05895653808882253
r,median_estimate,0.4859118577526952,0.29209052588727386,0.27920167908923155
r,true,0.48564632038594374,0.2913866808839413,0.2813839001142178
