Shocks of interest,δ(1),δ(4),δ(1000)
Shock $\varepsilon_t$,0.03462571142658455,0.034351757964290464,0.046177504164522376
Shock $d_t$,0.9741884939900752,0.9700637162157867,0.966984411689452
Shock $e_t$,0.48919073684037295,0.2557178549794612,0.09432496391168321
