,rgdp_pw,rpc_pw,hours_pw,real_wages_pw,cpi_index_q,gs1,exp_gdp_grow_1y,exp_infl_1y
1970-12-31,0.06738898566941749,0.04174872525208855,0.0007016899151863484,0.00017864709426577616,39.6,5.646666666666666,4.3412513758811055,
1971-03-31,0.06915400674142078,0.04250992581049494,0.0007042667434533691,0.000181492886701364,39.93333333333333,4.05,4.3227324272198775,
1971-06-30,0.06931344587834501,0.04276822735274376,0.0007044110383607097,0.00018240904994308365,40.300000000000004,4.993333333333333,4.855564902488774,
1971-09-30,0.06940010816113494,0.04281101985888745,0.0006995761592735597,0.00018194444500238666,40.699999999999996,5.75,5.94532973124311,
1971-12-31,0.06894084408731709,0.04313205171883699,0.0007007221026565733,0.00018193180751846906,41.0,4.726666666666667,6.077114379134296,
1972-03-31,0.06935620998194057,0.04317145788868823,0.000700045148579872,0.00018424324492508778,41.333333333333336,4.406666666666666,6.017676630500013,
1972-06-30,0.07035688549618321,0.043637764885496186,0.0006994320610687022,0.00018507721667645333,41.6,4.843333333333333,5.81896859167832,
1972-09-30,0.07052553658566167,0.04400108348056002,0.0006985053628244883,0.00018578173885338013,41.93333333333333,5.153333333333333,5.396783968328744,
1972-12-31,0.07122984988313535,0.044734319654948076,0.0007011517794751934,0.00018881461360708494,42.36666666666667,5.4366666666666665,5.110700821984571,
1973-03-31,0.07226173143822681,0.04509486929728655,0.0007045303647748733,0.00018939955042636508,43.03333333333333,6.31,4.338131921367605,
1973-06-30,0.07222521934652033,0.044566554765873144,0.000703866473788484,0.00018794826151231312,43.93333333333334,7.016666666666666,3.4808776884919457,
1973-09-30,0.0713966623826619,0.044444054673797126,0.0007041927255255068,0.0001873402217823506,44.800000000000004,8.506666666666668,2.560396354138539,
1973-12-31,0.07131744283130016,0.04384613154599007,0.0007002875829120089,0.00018564078485535792,45.93333333333334,7.413333333333334,0.9676451292940591,
1974-03-31,0.07031835865420101,0.04321663950055358,0.0006935931541395006,0.0001824230393519717,47.29999999999999,7.353333333333333,2.38293165789778,
