,wedge1,wedge1_stat,wedge2,wedge2_stat,wedge3,wedge3_stat,wedge4,wedge4_stat,wedge5,wedge5_stat
1981-09-30,4.922974820937658,,0.0007258103301543903,,0.025679669933430245,,-0.6678670622681864,,23.46267299006765,
1981-12-31,2.739287183999596,-2.1836876369380622,0.0004664236404276975,-0.3573753072259491,0.0035998645006319746,-0.85981655878117,-3.196605397754393,-2.5287383354862065,23.467712460392868,0.005039470325218787
1982-03-31,3.9792962117301727,1.2400090277305766,-0.000702421371627987,-2.5059729197771494,0.018708297225528872,4.1969448356304895,0.5677058244524744,3.7643112222068673,23.515285266614427,0.04757280622155946
1982-06-30,4.339497938072266,0.36020172634209313,-0.0005938449183203812,-0.1545745298950123,0.019010604651480127,0.0161590027305496,1.5348482336270735,0.967142409174599,23.490068978859007,-0.02521628775541984
1982-09-30,2.5477461681110576,-1.7917517699612082,-0.001096612691279343,0.8466314309483021,0.002723364056081347,-0.8567450059580661,-0.27500251288999245,-1.809850746517066,23.49587462728089,0.005805648421883802
1982-12-31,0.04072233296175298,-2.5070238351493046,-0.001853680204346557,0.6903690966625555,-0.017031154809236625,-7.253719465528521,-1.6683794821272642,-1.3933769692372717,23.500667094038867,0.004792466757976399
1983-03-31,0.39958327825028483,0.35886094528853185,-0.0015921592422653633,-0.1410820277780237,-0.011577967456660662,-0.3201889369015951,0.720664974512573,2.389044456639837,23.47819392485537,-0.022473169183498953
1983-06-30,-0.41771218114145814,-0.817295459391743,-0.0013561752308662994,-0.14821633737043793,-0.011157766501915654,-0.03629315389924259,0.6857156081053155,-0.03494936640725754,23.452109674970945,-0.02608424988442337
1983-09-30,1.5169347943614495,1.9346469755029077,-0.001229747674363832,-0.0932236141945374,-0.000283085721500341,-0.9746288182808147,2.180899000381885,1.4951833922765694,23.433608804677778,-0.018500870293166827
1983-12-31,0.3755213900504897,-1.1414134043109598,-0.0008951395172984919,-0.2720949704080051,-0.008601037334106457,29.383154927494623,0.244039288965471,-1.9368597114164139,23.401154994859105,-0.03245380981867285
1984-03-31,1.3674189773862295,0.9918975873357398,-0.0002693919139925213,-0.6990503616625716,-0.00379026595475062,-0.5593245549905077,1.283903784989322,1.039864496023851,23.369011439653008,-0.032143555206097574
1984-06-30,2.765731430295147,1.3983124529089173,-7.365687955314393e-05,-0.7265809561188658,0.003574137565636286,-1.9429780411996038,1.258889873666595,-0.02501391132272701,23.371135336239018,0.0021238965860099768
1984-09-30,3.619582705191073,0.8538512748959262,9.952149061883547e-05,-2.3511499702757575,0.008508678507597317,1.3806242348935887,2.4084630402373044,1.1495731665707094,23.371113296465566,-2.203977345160979e-05
1984-12-31,2.197090538274442,-1.4224921669166308,-0.00010488567405086274,-2.0538997496789104,-0.0024925128168334573,-1.2929377123143055,2.040104194181364,-0.3683588460559406,23.363499088067833,-0.00761420839773308
1985-03-31,1.4791950898082789,-0.7178954484661633,-0.0004301436106615847,3.101071138208951,-0.005750706452557389,1.3071923296519743,2.2871680458776167,0.2470638516962529,23.347497796370064,-0.016001291697769204
1985-06-30,0.8218582804335144,-0.6573368093747645,-0.0003805491023154556,-0.11529755904045624,-0.01576021658396381,1.7405705218973755,0.670674179396122,-1.6164938664814947,23.324943494937557,-0.022554301432506918
1985-09-30,0.9430508275850453,0.12119254715153094,-0.0004562199078177384,0.1988463644819103,-0.019657178387806992,0.24726575190650513,0.3694754881441007,-0.30119869125202126,23.320538610630784,-0.004404884306772772
1985-12-31,0.9860822362229795,0.0430314086379342,-0.00019287872250786653,-0.5772242306775391,-0.017190963555010076,-0.12546128361569264,1.334712920391416,0.9652374322473154,23.33892108537622,0.01838247474543664
1986-03-31,1.0148474554786788,0.028765219255699304,-0.00013605864932839107,-0.2945896387153749,-0.018424045919671055,0.07172851950474946,1.6056837309052154,0.27097081051379934,23.369828969928633,0.030907884552412668
1986-06-30,-0.546789253180564,-1.5616367086592429,-0.00045820182385598873,2.3676787629287213,-0.024409574158447956,0.3248758858327774,1.3920839410170025,-0.21359978988821293,23.40068066794296,0.03085169801432741
1986-09-30,-0.5115935449386932,0.03519570824187079,-0.0008466697871307785,0.8478097271757781,-0.030868150210274958,0.26459191831463147,0.3988805420571362,-0.9932033989598663,23.398865176181623,-0.001815491761337995
1986-12-31,-0.7991110667848784,-0.2875175218461852,-0.0008801045565388355,0.03948973958473445,-0.03360770701514045,0.08875027451284034,-0.13253313467764016,-0.5314136767347764,23.394081760098437,-0.004783416083185443
1987-03-31,-0.9748831297701672,-0.1757720629852888,-0.0005381655042208042,-0.3885209430829062,-0.03456676326729638,0.02853679519771668,-0.731906679083492,-0.5993735444058519,23.375992104378483,-0.018089655719954578
1987-06-30,-0.4882029590480679,0.48668017072209935,-0.0006631847968796012,0.2323064032872364,-0.031634935086574126,-0.0848163930782625,-1.1398288296458006,-0.4079221505623085,23.37918336434849,0.0031912599700056887
1987-09-30,-0.2718098945698264,0.21639306447824147,-0.0007821293136464,0.17935350346759038,-0.030030093861168193,-0.05073003061375103,-1.1441515336341403,-0.004322703988339782,23.37291705527605,-0.006266309072437082
1987-12-31,0.623888466207819,0.8956983607776454,0.00010073228973759424,-1.1287923722842783,-0.027838212783384428,-0.07298948474543665,-0.8230928396856818,0.32105869394845854,23.370305658875914,-0.0026113964001375223
1988-03-31,0.3809957116491285,-0.24289275455869053,-0.0005425866968279333,-6.386422747277578,-0.03088080746438636,0.10929561838890534,-0.8249945867885362,-0.0019017471028544009,23.37582416752341,0.005518508647497811
