model,linear_projection,nonlinear_projection
Euler equation,0.6065489932121864,0.48753931790218386
Keynesian consumption,0.8794242867547208,0.6289252237200148
Permanent income,0.8758450296148308,0.08468731650484373
Forward-looking Taylor rule,0.9007342952698025,0.9262951060524943
Intratemporal substitution,0.6396836656213353,34.31379305045864
