sasdate,u_F1,u_F2,u_F3,u_F4,u_F5
1960-06-01,4.530732474108172,-0.019752019852190994,-1.6403330446091353,-0.4885604900239786,-2.4266798269939205
1960-09-01,2.848694487496526,-0.09418122474145318,-2.8039349368529063,-0.24039042043379583,0.08046649649287474
1960-12-01,2.3885234584118464,-1.1453218716533935,-2.7898299479443662,1.366796796978712,-1.07043694123761
1961-03-01,2.9143826951305263,0.7313065800481202,0.6273984119681727,0.2984897947048407,-1.2084557285802422
1961-06-01,-2.3358083881119667,1.501281903604922,2.0846922672558743,-1.9071647768177342,1.8140208734555476
1961-09-01,-1.3429872546568584,0.7979542016303195,1.1084837533434295,-1.0744222091959097,-0.27981811552372604
1961-12-01,-1.982512937054707,1.3353699441331737,2.58749625019349,-1.1241407474276373,0.3295032642695588
1962-03-01,1.8127042830296647,-0.12279294383776307,-1.1759641570506325,-0.6645668492439156,0.9245301347567968
1962-06-01,-0.555441956950977,0.23997355449008628,-3.712103553760332,-2.7698255437919257,0.06289221137598255
1962-09-01,-2.9798478463850766,-0.9224350332681868,0.0322750047237349,1.783174762032944,-0.7338889963405402
1962-12-01,1.2092309093346842,0.1272253691509706,3.6030818161331877,-0.5426995675729085,-1.5802073379987027
1963-03-01,3.3917779837516764,1.6510727818665076,-0.6149431806588034,0.47079967350876,-0.5544630397916264
1963-06-01,-1.9626352578104869,-0.1470796582568854,1.7053885550231935,-0.4513319114318953,0.5983333724052002
1963-09-01,2.0191028526286177,-0.34863991200635014,1.8178327625674235,-0.052394680448044184,-1.4813203544037907
1963-12-01,1.4625243314137073,1.685215233357218,-1.7772319050838439,0.017033931555543946,-0.20820800751977808
1964-03-01,-3.213592097045043,-1.0075192395797765,0.6215060888159714,-0.9006803290621563,-0.5856223506057678
1964-06-01,0.16338678262273243,1.1431960638968186,1.2248788047591632,-0.2618942544556849,-0.10015816428508417
1964-09-01,-1.4754847694655577,-0.36038341789598904,1.9691338728173735,-0.3543232661483984,-0.06990366580121576
1964-12-01,1.912899754123448,1.600916032547345,-0.5105570266904741,0.42464819332537385,0.2871921684053398
1965-03-01,-4.290309007365757,-0.3549820506900674,3.5396887331808498,-0.6278012882024497,2.120493933112347
1965-06-01,0.4127144515832821,0.10755590606724486,0.7732268463317535,0.1395421371681116,-1.1686193125622393
1965-09-01,-1.5714875263680836,-0.38812613401919815,2.4640462179391074,-1.175752275698552,-2.2954275716488457
1965-12-01,-2.4790037048539117,-0.6076699196799913,1.7511139088225385,-0.06292511315771421,-0.6473239613622477
1966-03-01,0.742552697037544,0.8331312836227989,0.4219263978157415,0.32972865503689475,2.293530324082524
1966-06-01,0.6490232285549529,1.40367955732109,-1.9730883190824522,0.4329112801108892,-0.049541242676690356
1966-09-01,-1.595798432374903,1.1261662144252682,-1.8370563957351682,0.17755567881633105,1.3673871259658568
1966-12-01,-3.259945215402115,-0.40072107894864173,0.002275232705859054,-0.9322303625681243,-0.30288087254774587
1967-03-01,1.0087366667506494,-1.049276747015474,3.233494549915841,-1.3448712480480502,-3.4752538595115703
1967-06-01,0.36373314174872196,0.9163597372897845,1.6132951616756301,-0.7431323795277816,-0.17930264091406078
1967-09-01,-0.5852475788722509,-0.4861818313848002,-0.07974566588791365,0.21145787558882545,0.18206753856748303
1967-12-01,-1.0400559999725312,0.8506381206610563,0.4020770582917945,-0.2962555023985316,-0.3593850363329629
1968-03-01,-1.1374306415200586,-0.11117583555290667,-0.22988942655813774,-1.9143603075668851,1.7348678113418932
1968-06-01,-1.6030678736523174,-0.6093089727172485,0.4642593634494688,-0.4292320047157163,-1.287912988276527
1968-09-01,-0.14998780636135667,0.10189770984551982,-0.10155390235541295,0.016354109268164992,0.10892736513724133
1968-12-01,-2.801834256799673,0.187270413655948,0.5202841946390719,0.4010504131123397,-0.6404701589709996
1969-03-01,1.4533893089091938,0.08494121363537,-0.2510056196157731,-0.7608728022445221,2.0417450621528
1969-06-01,-1.696479492485596,0.8337007162399841,-2.6914604190181444,0.9097087219003516,0.4855844682834254
1969-09-01,-1.387454288220323,0.0466232228190262,-1.245797953964129,-0.7552713489568564,0.4444834912048896
1969-12-01,-2.3921188666681177,0.10365158140873776,-1.752552101482305,0.07092707832112277,0.18513291947389687
1970-03-01,1.6698661737799747,-1.4488765545224103,-2.308755367079802,0.28090114449401493,-0.7925861382021742
1970-06-01,-1.3971765369692921,-0.8823888710576393,-3.6002525912141596,0.08736709755878713,-0.4979278835090293
1970-09-01,-3.860251727459048,-1.0400738340459443,2.2603922564601358,0.9917865791204576,-1.5028162042921287
1970-12-01,5.26170788754974,-1.837909157011894,-1.1155540308648306,0.6243769099240445,-2.5008547388922766
1971-03-01,-4.844592351416401,0.012914455089978905,1.3114879069532541,-0.05831318288522502,0.34448723075167154
1971-06-01,1.1617851425125247,0.29365225651248905,0.3555636350125242,0.09595292845857117,-0.10514882470993792
1971-09-01,1.648510134523463,0.7031649141509941,-0.5726530117983605,-1.1849246495757086,-0.3969856709668511
1971-12-01,-0.8707009989219774,0.04073253226959134,0.41312986937015017,-0.7511101951276433,-1.2247048150748923
1972-03-01,-2.867167469375108,0.006799417787647012,0.8001582124589977,-0.38367807494207407,-1.431676318374051
1972-06-01,0.9357980873126595,0.5670315021394905,-0.7746228716418369,-1.8437358898894813,-0.4572802151769544
1972-09-01,-1.3796906651428738,0.19865059098014592,-0.8651362006041154,0.29692783129185113,-0.07355016965952266
1972-12-01,-3.495947817567674,-0.08182060231199584,3.039278139946334,-0.5727875738649745,0.09931964019769923
