variable,stat,0,1,4,16
y,median_estimate,0.0,0.10016223074731978,0.12785864283368464,0.12956076990107107
y,true,0.0,0.11415525114155246,0.11627162211829142,0.11627906976743975
r,median_estimate,0.40792037724823416,0.44466713498320076,0.4515839225670725,0.452084542594388
r,true,0.8620689655172404,0.4830113257828113,0.45138196283186516,0.4512635379061703
